 |14|山西省|省|
142303001|142303001004|马家庄|村|
142303001|142303001005|任家庄|村|
142303001|142303001006|闫家庄|村|
142303001|142303001007|王虎庄|村|
142303001|142303001008|拐岭底|村|
142303001|142303001009|唐垣|村|
142303001|142303001010|上古池|村|
142303001|142303001011|下古池|村|
142303001|142303001012|向阳|村|
142303001|142303001013|后庄|村|
142303001|142303001014|马家社|村|
142303001|142303001015|冯家山底|村|
142303001|142303001016|后沟|村|
142303001|142303001017|南道|村|
142303001|142303001018|开垣庄|村|
142303001|142303001019|敖坡|村|
142303001|142303001020|龙湾|村|
142303001|142303001021|坡头|村|
142303001|142303001022|褚家沟|村|
142303001|142303001023|余家垣|村|
142303001|142303001024|相子垣|村|
142303001|142303001025|赵庄|村|
142303001|142303001026|桑沟|村|
142303001|142303001027|金庄|村|
142303001|142303001028|安乐庄|村|
142303001|142303001029|上池家庄|村|
142303001|142303001031|宋家庄|村|
142303001|142303001033|柏草坡|村|
142303001|142303001034|王盛庄|村|
142303001|142303001035|张家坡|村|
142303001|142303001037|下池家庄|村|
142303001|142303001038|上张家庄|村|
142303001|142303001039|下张家庄|村|
142303001|142303001040|水泉|村|
142303001|142303001041|田褚|村|
142303001|142303001042|崖头|村|
142303001|142303001043|李家沟|村|
142303001|142303001044|圪垛|村|
142303001|142303001045|梁家沟|村|
142303001|142303001046|赵家街|村|
142303001|142303001047|肃静|村|
142303001|142303001048|南崖底|村|
142303001|142303001049|峪口|村|
142303001|142303001050|刘村|村|
142303001|142303001051|堡城寺|村|
142303001|142303001052|宏寺|村|
142303002|142303002001|石老|村|
142303002|142303002002|霍头|村|
142303002|142303002003|山庄头|村|
142303002|142303002004|庄上|村|
142303002|142303002005|小相寨|村|
142303002|142303002006|上堡|村|
142303002|142303002007|安上|村|
142303002|142303002008|武家垣|村|
142303002|142303002009|小相|村|
142303002|142303002010|下堡|村|
142303002|142303002011|杏花西堡|村|
142303002|142303002012|冯郝沟|村|
142303002|142303002013|窑头|村|
142303002|142303002014|辛庄|村|
142303002|142303002015|上庙|村|
142303002|142303002016|张兴村|村|
142303002|142303002017|杏花东堡|村|
142303002|142303002018|永安|村|
142303002|142303002019|官道|村|
142303002|142303002020|杜村|村|
142303003|142303003001|仁岩|村|
142303003|142303003002|艾子|村|
142303003|142303003003|冀村|村|
142303003|142303003004|东马寨|村|
142303003|142303003005|东河头|村|
142303003|142303003006|南浦|村|
142303003|142303003007|唐兴|村|
142303003|142303003008|古贤庄|村|
142303003|142303003009|大会头|村|
142303003|142303003010|东陈家庄|村|
142303003|142303003011|城子|村|
142303003|142303003012|东遥庄|村|
142303003|142303003013|普提庄|村|
142303003|142303003014|西九枝|村|
142303003|142303003015|东宋家庄|村|
142303003|142303003016|东九枝|村|
142303003|142303003017|李家庄|村|
142303003|142303003018|东社|村|
142303003|142303003019|富家庄|村|
142303004|142303004001|谷雨墕|村|
142303004|142303004002|三合庄|村|
142303004|142303004003|原家社|村|
142303004|142303004004|菽禾村|村|
142303004|142303004005|李家庄|村|
142303004|142303004006|西庄|村|
142303004|142303004007|胡家社|村|
142303004|142303004008|西武堡|村|
142303004|142303004009|东武堡|村|
142303004|142303004010|南广城|村|
142303004|142303004011|北广城|村|
142303004|142303004012|东村|村|
142303004|142303004013|下庄|村|
142303004|142303004014|石庄|村|
142303004|142303004015|曹家庄|村|
142303004|142303004017|张家庄|村|
142303004|142303004018|阳泉|村|
142303004|142303004019|后杨寨|村|
142303004|142303004020|前杨寨|村|
142303005|142303005001|王家池|村|
142303005|142303005002|舍科|村|
142303005|142303005003|康家山|村|
142303005|142303005004|色头|村|
142303005|142303005005|田家庄|村|
142303005|142303005006|冯家墕|村|
142303005|142303005007|南泉头|村|
142303005|142303005008|谷丰|村|
142303005|142303005009|裴家庄|村|
142303005|142303005010|紫家墕|村|
