 |14|山西省| |省| |SHENG| |101|0|2
142330004|142330004024|水沟| |村| |CUN| |105|0|12
142330004|142330004025|武家湾| |村| |CUN| |105|0|12
142330004|142330004026|古贤| |村| |CUN| |105|0|12
142330004|142330004027|横沟| |村| |CUN| |105|0|12
142330004|142330004028|班庄| |村| |CUN| |105|0|12
142330004|142330004029|庄上| |村| |CUN| |105|0|12
142330004|142330004030|前东旺坪| |村| |CUN| |105|0|12
142330004|142330004031|后东旺坪| |村| |CUN| |105|0|12
142330004|142330004032|郭家湾| |村| |CUN| |105|0|12
142330005|142330005001|呼家湾| |村| |CUN| |105|0|12
142330005|142330005002|任家山| |村| |CUN| |105|0|12
142330005|142330005003|张家塔| |村| |CUN| |105|0|12
142330005|142330005004|花果山| |村| |CUN| |105|0|12
142330005|142330005005|上村| |村| |CUN| |105|0|12
142330005|142330005006|下村| |村| |CUN| |105|0|12
142330005|142330005007|韩家山| |村| |CUN| |105|0|12
142330005|142330005008|郝家墕| |村| |CUN| |105|0|12
142330005|142330005009|常家山| |村| |CUN| |105|0|12
142330005|142330005010|杜家会| |村| |CUN| |105|0|12
142330005|142330005011|西村| |村| |CUN| |105|0|12
142330005|142330005012|阳峁| |村| |CUN| |105|0|12
142330005|142330005013|牛家岭| |村| |CUN| |105|0|12
142330005|142330005014|宗家山| |村| |CUN| |105|0|12
142330005|142330005015|横泉| |村| |CUN| |105|0|12
142330005|142330005016|土福则| |村| |CUN| |105|0|12
142330005|142330005017|吉家庄| |村| |CUN| |105|0|12
142330005|142330005018|花家坡| |村| |CUN| |105|0|12
142330005|142330005019|周家山| |村| |CUN| |105|0|12
142330005|142330005020|田家坡| |村| |CUN| |105|0|12
142330005|142330005021|圪叉咀| |村| |CUN| |105|0|12
142330005|142330005022|乔沟| |村| |CUN| |105|0|12
142330005|142330005023|东湾| |村| |CUN| |105|0|12
142330005|142330005024|兴隆湾| |村| |CUN| |105|0|12
142330005|142330005025|圪针湾| |村| |CUN| |105|0|12
142330005|142330005026|石板梁| |村| |CUN| |105|0|12
142330005|142330005027|峪口| |村| |CUN| |105|0|12
142330005|142330005028|安上| |村| |CUN| |105|0|12
142330005|142330005029|西山| |村| |CUN| |105|0|12
142330005|142330005030|新庄| |村| |CUN| |105|0|12
142330005|142330005031|前南村| |村| |CUN| |105|0|12
142330005|142330005032|南村| |村| |CUN| |105|0|12
142330006|142330006001|占古| |村| |CUN| |105|0|12
142330006|142330006002|松泉| |村| |CUN| |105|0|12
142330006|142330006003|武当| |村| |CUN| |105|0|12
142330006|142330006004|韩庄| |村| |CUN| |105|0|12
142330006|142330006005|来堡| |村| |CUN| |105|0|12
142330006|142330006006|河庄| |村| |CUN| |105|0|12
142330006|142330006007|下昔| |村| |CUN| |105|0|12
142330006|142330006008|庙底| |村| |CUN| |105|0|12
142330006|142330006009|暖泉会| |村| |CUN| |105|0|12
142330006|142330006010|阳湾| |村| |CUN| |105|0|12
