 |14|山西省| |省| |SHENG| |101|0|2
141123|141123017|贺家会乡| |乡| |XIANG| |104|0|9
141129|141129001|金罗镇| |乡| |XIANG| |104|0|9
141129|141129002|张子山乡| |乡| |XIANG| |104|0|9
141129|141129003|下枣林乡| |乡| |XIANG| |104|0|9
141129|141129004|宁乡镇| |乡| |XIANG| |104|0|9
141129|141129005|枝柯镇| |乡| |XIANG| |104|0|9
141129|141129006|武家庄镇| |乡| |XIANG| |104|0|9
141129|141129007|暖泉镇| |乡| |XIANG| |104|0|9
141128001|141128001001|辉回| |村| |CUN| |105|0|12
141128001|141128001002|西沟| |村| |CUN| |105|0|12
141128001|141128001003|赤坚岭| |村| |CUN| |105|0|12
141128001|141128001004|代坡| |村| |CUN| |105|0|12
141128001|141128001005|杨家沟| |村| |CUN| |105|0|12
141128001|141128001006|麻峪| |村| |CUN| |105|0|12
141128001|141128001007|吴家沟| |村| |CUN| |105|0|12
141128001|141128001008|条则墕| |村| |CUN| |105|0|12
141128001|141128001009|同堡| |村| |CUN| |105|0|12
141128001|141128001010|李家湾| |村| |CUN| |105|0|12
141128001|141128001011|窑上| |村| |CUN| |105|0|12
141128001|141128001012|落辉| |村| |CUN| |105|0|12
141128001|141128001013|油房沟| |村| |CUN| |105|0|12
141128001|141128001014|红崖湾| |村| |CUN| |105|0|12
141128001|141128001015|开府| |村| |CUN| |105|0|12
141128001|141128001016|里其| |村| |CUN| |105|0|12
141128001|141128001017|陈家湾| |村| |CUN| |105|0|12
141128001|141128001018|王家湾| |村| |CUN| |105|0|12
141128001|141128001019|磨地湾| |村| |CUN| |105|0|12
141128001|141128001020|神堂沟| |村| |CUN| |105|0|12
141128001|141128001021|马坊| |村| |CUN| |105|0|12
141128001|141128001022|树林则| |村| |CUN| |105|0|12
141128001|141128001023|高明| |村| |CUN| |105|0|12
141128001|141128001024|庄则上| |村| |CUN| |105|0|12
141128001|141128001025|四皓| |村| |CUN| |105|0|12
141128001|141128001026|龙泉| |村| |CUN| |105|0|12
141128001|141128001027|赤街| |村| |CUN| |105|0|12
141128001|141128001028|温家庄| |村| |CUN| |105|0|12
141128001|141128001029|赤街会| |村| |CUN| |105|0|12
141128001|141128001030|杨家坪| |村| |CUN| |105|0|12
141128001|141128001031|周家沟| |村| |CUN| |105|0|12
141128002|141128002001|赤红| |村| |CUN| |105|0|12
141128002|141128002002|代咀| |村| |CUN| |105|0|12
141128002|141128002003|积翠| |村| |CUN| |105|0|12
141128002|141128002004|水神沟| |村| |CUN| |105|0|12
141128002|141128002005|卧龙潭| |村| |CUN| |105|0|12
141128002|141128002006|孔家庄| |村| |CUN| |105|0|12
141128002|141128002007|南虎滩| |村| |CUN| |105|0|12
141128002|141128002008|方山| |村| |CUN| |105|0|12
141128002|141128002009|莴苣沟| |村| |CUN| |105|0|12
141128002|141128002010|凤翼| |村| |CUN| |105|0|12
141128002|141128002011|东王| |村| |CUN| |105|0|12
141128002|141128002012|邦罗| |村| |CUN| |105|0|12
141128002|141128002013|刘家庄| |村| |CUN| |105|0|12
