 |14|山西省|省|
141128002|141128002013|刘家庄|村|
141128002|141128002014|冯家庄|村|
141128002|141128002015|莺峪|村|
141128002|141128002016|南阳|村|
141128003|141128003001|胡堡|村|
141128003|141128003002|西坡|村|
141128003|141128003003|后则沟|村|
141128003|141128003004|焦家峪|村|
141128003|141128003005|石湾|村|
141128003|141128003006|大西沟|村|
141128003|141128003007|麻地会|村|
141128003|141128003008|水沟湾|村|
141128003|141128003009|庄上|村|
141128003|141128003010|韩家沟|村|
141128003|141128003011|运庄|村|
141128003|141128003012|赵庄|村|
141128003|141128003013|郝家庄|村|
141128003|141128003014|桦林坪|村|
141128003|141128003015|冯家庄|村|
141128003|141128003016|阳圪台|村|
141128004|141128004001|津良庄|村|
141128004|141128004002|西山|村|
141128004|141128004003|糜家塔|村|
141128004|141128004004|东沟|村|
141128004|141128004005|东胜山|村|
141128004|141128004006|黄草林|村|
141128004|141128004007|南洼|村|
141128004|141128004008|南后庄|村|
141128004|141128004009|高家山|村|
141128004|141128004010|果则园|村|
141128004|141128004011|秦家坡|村|
141128004|141128004012|槐树墕|村|
141128004|141128004013|石站头|村|
141128004|141128004014|胡家岭|村|
141128004|141128004015|袁家甲|村|
141128004|141128004016|潘家坂|村|
141128004|141128004017|车道崖|村|
141128004|141128004018|桑家会|村|
141128004|141128004019|圪洞|村|
141128004|141128004020|高家庄|村|
141128004|141128004021|建军庄|村|
141128004|141128004022|阳湾|村|
141128004|141128004023|务云塔|村|
141128004|141128004024|水沟|村|
141128004|141128004025|武家湾|村|
141128004|141128004026|古贤|村|
141128004|141128004027|横沟|村|
141128004|141128004028|班庄|村|
141128004|141128004029|庄上|村|
141128004|141128004030|前东旺坪|村|
141128004|141128004031|后东旺坪|村|
141128004|141128004032|郭家湾|村|
141128005|141128005001|呼家湾|村|
141128005|141128005002|任家山|村|
141128005|141128005003|张家塔|村|
141128005|141128005004|花果山|村|
141128005|141128005005|上村|村|
141128005|141128005006|下村|村|
141128005|141128005007|韩家山|村|
141128005|141128005008|郝家墕|村|
141128005|141128005009|常家山|村|
141128005|141128005010|杜家会|村|
141128005|141128005011|西村|村|
141128005|141128005012|阳峁|村|
141128005|141128005013|牛家岭|村|
141128005|141128005014|宗家山|村|
141128005|141128005015|横泉|村|
141128005|141128005016|土福则|村|
141128005|141128005017|吉家庄|村|
141128005|141128005018|花家坡|村|
141128005|141128005019|周家山|村|
141128005|141128005020|田家坡|村|
141128005|141128005021|圪叉咀|村|
141128005|141128005022|乔沟|村|
141128005|141128005023|东湾|村|
141128005|141128005024|兴隆湾|村|
141128005|141128005025|圪针湾|村|
141128005|141128005026|石板梁|村|
141128005|141128005027|峪口|村|
141128005|141128005028|安上|村|
141128005|141128005029|西山|村|
141128005|141128005030|新庄|村|
141128005|141128005031|前南村|村|
141128005|141128005032|南村|村|
141128006|141128006001|占古|村|
141128006|141128006002|松泉|村|
141128006|141128006003|武当|村|
141128006|141128006004|韩庄|村|
141128006|141128006005|来堡|村|
141128006|141128006006|河庄|村|
141128006|141128006007|下昔|村|
141128006|141128006008|庙底|村|
141128006|141128006009|暖泉会|村|
141128006|141128006010|阳湾|村|
141128006|141128006011|新民|村|
141128007|141128007001|阳和沟|村|
141128007|141128007002|龙凤村|村|
141128007|141128007003|石门墕|村|
141128007|141128007004|杨家村|村|
141128007|141128007005|水源|村|
141128007|141128007006|闫家山|村|
141128007|141128007007|下庄|村|
141128007|141128007008|王家庄|村|
141128007|141128007009|水沟|村|
141128007|141128007010|店坪|村|
141128007|141128007011|新房|村|
141128007|141128007013|西相王|村|
141128007|141128007014|杨家会|村|
141128007|141128007015|东坡|村|
141128007|141128007016|杨家塔|村|
141128007|141128007017|张家耳|村|
141128007|141128007018|高家沟|村|
141128007|141128007019|举人头|村|
141128007|141128007020|郭家沟|村|
141128007|141128007021|红罗沟|村|
141128007|141128007022|大武一村|村|
141128007|141128007023|大武二村|村|
141128007|141128007024|大武三村|村|
141128007|141128007025|大武四村|村|
141128007|141128007026|东相王|村|
141128007|141128007027|相当|村|
141128007|141128007028|雅湾|村|
141128007|141128007029|新洞上|村|
141128007|141128007030|武回庄|村|
141128007|141128007031|武家庄|村|
141128007|141128007012|保安|村|
141182001|141182001001|交口|村|
141182001|141182001002|蔚家沟|村|
141182001|141182001003|高新村|村|
141182001|141182001004|马家庄|村|
141182001|141182001005|任家庄|村|
141182001|141182001006|闫家庄|村|
141182001|141182001007|王虎庄|村|
141182001|141182001008|拐岭底|村|
141182001|141182001009|唐垣|村|
141182001|141182001010|上古池|村|
141182001|141182001011|下古池|村|
141182001|141182001012|向阳|村|
141182001|141182001013|后庄|村|
141182001|141182001014|马家社|村|
141182001|141182001015|冯家山底|村|
141182001|141182001016|后沟|村|
141182001|141182001017|南道|村|
141182001|141182001018|开垣庄|村|
141182001|141182001019|敖坡|村|
141182001|141182001020|龙湾|村|
141182001|141182001021|坡头|村|
141182001|141182001022|褚家沟|村|
141182001|141182001023|余家垣|村|
141182001|141182001024|相子垣|村|
141182001|141182001025|赵庄|村|
141182001|141182001026|桑沟|村|
141182001|141182001027|金庄|村|
141182001|141182001028|安乐庄|村|
141182001|141182001029|上池家庄|村|
141182001|141182001031|宋家庄|村|
